id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_id
85,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 12:00,CO,70,109,98,NA
86,India,Delhi,Delhi,"Bawana, Delhi - DPCC",01-10-19 12:00,OZONE,9,156,52,NA
87,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",01-10-19 12:00,PM10,1,137,55,NA
88,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",01-10-19 12:00,NO2,38,71,49,NA
89,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",01-10-19 12:00,CO,44,52,48,NA
90,India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",01-10-19 12:00,OZONE,15,63,38,NA
91,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",01-10-19 12:00,PM2.5,6,92,47,NA
92,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",01-10-19 12:00,PM10,22,115,62,NA
93,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",01-10-19 12:00,NO2,8,61,27,NA
94,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",01-10-19 12:00,CO,15,40,28,NA
95,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",01-10-19 12:00,OZONE,1,53,21,NA
96,India,Delhi,Delhi,"DTU, Delhi - CPCB",01-10-19 12:00,PM2.5,24,133,63,NA
97,India,Delhi,Delhi,"DTU, Delhi - CPCB",01-10-19 12:00,PM10,20,157,84,NA
98,India,Delhi,Delhi,"DTU, Delhi - CPCB",01-10-19 12:00,NO2,3,87,60,NA
99,India,Delhi,Delhi,"DTU, Delhi - CPCB",01-10-19 12:00,NH3,14,26,21,NA
100,India,Delhi,Delhi,"DTU, Delhi - CPCB",01-10-19 12:00,SO2,4,17,8,NA
54,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 1:00,PM2.5,22,130,55,NA
55,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 1:00,PM10,33,119,64,NA
56,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 1:00,NO2,24,50,34,NA
57,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 1:00,NH3,3,6,4,NA
58,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 1:00,SO2,14,20,17,NA
59,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 1:00,CO,25,70,58,NA
60,India,Delhi,Delhi,"Alipur, Delhi - DPCC",01-10-19 1:00,OZONE,3,76,17,NA
61,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 1:00,PM2.5,17,80,45,NA
62,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 1:00,PM10,17,135,76,NA
63,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 1:00,NO2,26,85,50,NA
64,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 1:00,NH3,4,7,5,NA
65,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 1:00,SO2,5,14,8,NA
66,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",01-10-19 1:00,CO,45,124,110,NA
